STT,Chủ đề / Nhánh,Câu hỏi,Câu trả lời,Số lượng tài liệu,Kết quả (PASS/FAIL),Lý do đánh giá,Debug Logs (SQL/Rerank)
11,company,"Cho mình hỏi các chế độ công đoàn như sinh nhật, ốm đau, hiếu hỉ bên mình quy định sao ạ?","Theo nội quy công ty mình, hiện tại chỉ có quy định về chế độ thường và phúc lợi liên quan đến thâm niên làm việc, cụ thể như sau:

- **Chế độ thường theo thâm niên**:  
  + Làm việc chính thức tròn **3 năm**: được nhận **0,5 tháng lương hợp đồng**.  
  + Tròn **5 năm**: **1 tháng lương hợp đồng**.  
  + Tròn **10 năm**: **1,5 tháng lương hợp đồng** + Kỷ niệm chương.  
  + Tròn **15, 20 năm** (mỗi 5 năm tiếp theo): **2 tháng lương hợp đồng** + quà kỷ niệm giá trị.

Tuy nhiên, tài liệu hiện tại không đề cập đến thông tin về các chế độ như **sinh nhật**, **ốm đau**, hay **hiếu hỉ** của công đoàn. Bạn có thể liên hệ trực tiếp với Phòng Hành chính - Nhân sự để được cập nhật chi tiết hơn về các chế độ này.",1,PASS,"RESULT: PASS  
REASON: Câu trả lời chính xác phản ánh thông tin trong tài liệu 1 về chế độ thường theo thâm niên, không thêm thông tin ngoài tài liệu, đồng thời rõ ràng thừa nhận tài liệu không đề cập đến các chế độ sinh nhật, ốm đau, hiếu hỉ như người dùng hỏi, tránh hiện tượng hallucination và giữ đúng trọng tâm câu hỏi.",
12,company,Thời gian làm việc bên mình là từ mấy giờ đến mấy giờ vậy? Có phải làm Thứ 7 không?,"Theo quy định chung của công ty, thời gian làm việc bình thường là từ **8 giờ 15 phút đến 17 giờ 30 phút** mỗi ngày, bao gồm:

- **Giờ làm việc**: Từ 8h15 đến 17h30  
- **Nghỉ trưa**: Từ 12h00 đến 13h15  
- **Ngày làm việc**: Từ thứ Hai đến thứ Sáu, và **thứ Bảy xen kẽ** – tức là tuần nào làm thứ Bảy thì tuần sau nghỉ, và ngược lại.  

Do đó, bạn **sẽ làm việc vào thứ Bảy trong những tuần được phân công**, còn tuần sau sẽ được nghỉ.  

Ngoài ra, nếu làm việc tại trụ sở, bạn sẽ thực hiện theo ca hành chính 1 (HC1), với thời gian cụ thể như trên.  

Tất cả nhân viên phải chấm công đúng giờ qua hệ thống Wifi công ty, kể cả khi đi muộn hay về sớm.",8,PASS,"RESULT: PASS  
REASON: Câu trả lời hoàn toàn dựa trên thông tin từ các tài liệu đã truy xuất, cụ thể là tài liệu 1, 2 và 5. Câu trả lời chính xác về thời gian làm việc (8h15 đến 17h30), nghỉ trưa (12h00–13h15), và quy định làm việc vào thứ Bảy xen kẽ (tuần làm, tuần nghỉ), đồng thời không thêm thông tin ngoài tài liệu. Không có hiện tượng hallucination, và tất cả thông tin đều được trích dẫn đúng từ tài liệu.",
13,company,"Công ty mình chấm công bằng vân tay, quẹt thẻ hay chấm công qua app trên điện thoại thế ạ?","Theo nội quy công ty mình, nhân viên làm việc tại văn phòng sẽ chấm công bằng cách quẹt thẻ tại máy chấm công, cụ thể là chấm công bằng văn tay mỗi khi đến và rời khỏi công ty. Ngoài ra, đối với nhân viên khối kinh doanh làm việc ngoài thị trường, sẽ thực hiện chấm công bằng hình thức check-in và gửi định vị nơi công tác cho người quản lý trực tiếp.

Tuy nhiên, tài liệu hiện tại không đề cập đến việc chấm công qua app trên điện thoại hay sử dụng vân tay.",2,PASS,"RESULT: PASS  
REASON: Câu trả lời hoàn toàn dựa trên thông tin từ các tài liệu đã truy xuất: tài liệu 1 nêu rõ quy trình chấm công qua web, tài liệu 2 xác nhận nhân viên văn phòng chấm công bằng máy chấm công (quẹt thẻ/vân tay), và nhân viên kinh doanh chấm công bằng check-in và gửi định vị. Chatbot cũng rõ ràng nhận định rằng không có thông tin nào trong tài liệu đề cập đến chấm công qua app trên điện thoại, tránh việc đưa ra thông tin không có trong tài liệu. Không có thông tin bị thêm thắt hay hallucination.",
14,company,Nếu đi muộn hoặc về sớm thì bị trừ lương như thế nào?,"Theo quy định chấm công, nếu đi muộn hoặc về sớm từ 10 phút trở lên, thời gian đó sẽ được tính là **phút việc riêng (PVR)** và **không được tính công**. Điều này có nghĩa là khoảng thời gian đi muộn hoặc về sớm sẽ không được tính vào ngày công làm việc, dẫn đến việc **không được hưởng lương** cho thời gian đó.

Tuy nhiên, nếu có sự **phê duyệt từ Trưởng bộ phận**, người lao động vẫn có thể chấm công theo thời gian thực tế, nhưng thời gian đi muộn hoặc về sớm vẫn sẽ không được tính là công việc chính thức và không được tính lương.

Ngoài ra, nếu không có sự đồng ý của bộ phận, việc đi muộn hoặc về sớm sẽ không được chấp nhận và có thể ảnh hưởng đến đánh giá hiệu suất hoặc các chính sách liên quan đến chấm công.",7,PASS,"RESULT: PASS  
REASON: Câu trả lời chính xác phản ánh thông tin từ tài liệu 1 và tài liệu 5, cụ thể là: đi muộn hoặc về sớm từ 10 phút trở lên sẽ được tính là phút việc riêng (PVR), không được tính công và không được hưởng lương. Đồng thời, câu trả lời cũng đúng khi nêu rõ điều kiện có thể chấm công theo thời gian thực tế nếu có sự phê duyệt của Trưởng bộ phận, phù hợp với nội dung tài liệu 1 và 5. Không có thông tin nào bị thêm thắt hay sai lệch so với tài liệu đã truy xuất.",
15,company,Đặc thù công việc nếu phải ra ngoài gặp khách hàng thì chấm công kiểu gì vậy ạ?,"Theo quy định chấm công, nếu bạn phải ra ngoài gặp khách hàng, bạn cần thực hiện như sau:

Trước tiên, bạn phải **đăng ký “Gặp khách hàng” trên hệ thống**. Nếu bạn đi từ công ty ra ngoài, bạn sẽ chấm công vào bình thường khi đến công ty, sau đó tick chọn ô **“Công tác”** khi ra ngoài, ghi rõ nội dung công việc và nhấn chấm công. Trường hợp bạn đi từ nhà đến địa điểm gặp khách hàng mà không qua công ty, thì khi trở về công ty, bạn cần thực hiện **chấm công “Gặp khách hàng”** để hệ thống ghi nhận.

Lưu ý quan trọng: Mọi lần ra ngoài gặp khách hàng đều phải được đăng ký để quản lý theo dõi. Ngoài ra, nếu công việc kéo dài quá giờ làm việc và bạn không quay về công ty để chấm công, bạn cần vào **“Danh sách gặp khách hàng”** để xác nhận thời gian thực tế, đồng thời phải có sự **phê duyệt của Trưởng bộ phận**.

Nếu bạn đi công tác từ 1 ngày trở lên, cần làm đề xuất công tác trên phần mềm trước 23h59 ngày liền kề ngày công tác dự kiến, và thực hiện cả hai giai đoạn: duyệt đề xuất và xác nhận ngày công tác thực tế.

Tóm lại, chấm công khi gặp khách hàng phải được **đăng ký trước** và **có phê duyệt**, đồng thời ghi nhận đầy đủ thời gian thực tế nếu cần.",6,PASS,"RESULT: PASS  
REASON: Câu trả lời hoàn toàn dựa trên thông tin từ các tài liệu đã truy xuất, không thêm thông tin ngoài nguồn. Tất cả các bước chấm công khi gặp khách hàng (đăng ký “Gặp khách hàng”, chấm công “Công tác”, xác nhận thời gian thực tế, phê duyệt Trưởng bộ phận, quy trình đề xuất công tác nếu kéo dài) đều được trích dẫn chính xác từ Tài liệu 1, 2, 3, 4 và 6. Không có thông tin bị thêm thắt hay sai lệch (hallucination), và đáp ứng đúng trọng tâm câu hỏi.",
16,company,Nếu mình phải làm thêm giờ (OT) thì công ty tính lương OT như thế nào? Có quy trình đăng ký phức tạp không?,"Theo quy định của công ty, lương làm thêm giờ (OT) được tính dựa trên thời gian và ngày làm việc như sau:

- **Ngày thường (thứ 2 đến thứ 7)**: Từ 18h00 trở đi, được tính **150%** tiền lương giờ bình thường.  
- **Chủ nhật**: Được tính **200%** tiền lương giờ bình thường.  
- **Ngày lễ, tết**: Được tính **300%** tiền lương giờ bình thường.

Lưu ý, thời gian làm thêm giờ chỉ được tính nếu **kết thúc ca làm việc từ 30 phút trở lên**, và phải đáp ứng đủ các điều kiện như: được phê duyệt trước, có đề xuất làm thêm giờ và xác nhận giờ thực tế đã được Phòng Hành chính Nhân sự (P.HCNS) hoặc Ban Giám đốc (BGD) duyệt.

Về quy trình đăng ký, bạn cần thực hiện theo các bước sau:  
1. **Đề xuất làm thêm giờ** trước khi thực hiện, thông qua hệ thống.  
2. **Có sự phê duyệt** từ cấp quản lý trực tiếp và Ban Giám đốc.  
3. **Xác nhận giờ làm thực tế** ngay sau khi hoàn thành, thông qua hệ thống chấm công.  
4. Đảm bảo đã **đủ giờ công chuẩn trong ngày và trong tháng** mới được tính OT.

Quy trình này được thiết kế để đảm bảo minh bạch và công bằng, tuy nhiên nếu bạn làm đúng theo quy định và có đầy đủ hồ sơ, thì không quá phức tạp. Hệ thống sẽ tự động phân loại thời gian làm thêm theo ngày (thường, chủ nhật, lễ tết), và P.HCNS sẽ chịu trách nhiệm duyệt và theo dõi.

Tóm lại, công ty tính OT theo tỷ lệ pháp luật quy định, và quy trình có yêu cầu rõ ràng nhưng minh bạch, chỉ cần bạn tuân thủ đúng từ khâu đề xuất đến xác nhận.",19,PASS,"RESULT: PASS  
REASON: Câu trả lời hoàn toàn dựa trên thông tin từ các tài liệu đã truy xuất, không thêm thông tin ngoài nguồn. Cụ thể:  
- Tỷ lệ tính lương OT (150%, 200%, 300%) được xác nhận từ Tài liệu 1, 2, 7, 14.  
- Điều kiện tính OT (kết thúc ca từ 30 phút trở lên, đủ giờ công chuẩn, có phê duyệt trước) được trích dẫn từ Tài liệu 1, 2, 3, 10, 11, 13, 18, 19.  
- Quy trình đăng ký (đề xuất trước, duyệt từ cấp quản lý/BGD, xác nhận sau khi làm) được phản ánh chính xác từ Tài liệu 2, 10, 11, 14, 15.  
- Không có thông tin nào bị thêm thắt, suy diễn hay hallucination. Tất cả đều được hỗ trợ bởi tài liệu.",
17,company,Bên mình có cho phép làm remote (làm từ xa) hoặc thời gian linh hoạt (flexitime) không?,"Theo quy định nội bộ, công ty hiện chưa có chính sách làm việc từ xa (remote) hay thời gian linh hoạt (flexitime) áp dụng chung cho toàn bộ nhân viên.  

Tuy nhiên, đối với nhân viên đi công tác hoặc làm việc bên ngoài trụ sở, thời gian làm việc được tính từ thứ Hai đến thứ Bảy, 8 giờ/ngày, và bao gồm luôn cả thời gian di chuyển. Việc sắp xếp thời gian làm việc trong các trường hợp này do nhân viên tự chủ, nhưng phải được sự đồng ý của cấp trên trực tiếp và ghi sổ theo dõi tại bàn lễ tân hoặc thông báo cho người có liên quan.  

Riêng bộ phận lái xe sẽ áp dụng thời gian làm việc linh hoạt theo tính chất công việc.  

Tài liệu hiện tại không đề cập đến chính sách làm việc từ xa hoặc flexitime cho các vị trí khác.",3,FAIL,"RESULT: FAIL  
REASON: Câu trả lời đưa ra thông tin không chính xác khi khẳng định ""công ty hiện chưa có chính sách làm việc từ xa (remote) hay thời gian linh hoạt (flexitime) áp dụng chung cho toàn bộ nhân viên"". Tài liệu không nêu rõ việc **không có chính sách** này cho toàn công ty, mà chỉ nêu rằng **riêng bộ phận lái xe** được áp dụng thời gian linh hoạt theo tính chất công việc. Việc kết luận rằng ""chưa có chính sách áp dụng chung"" là suy diễn vượt quá thông tin trong tài liệu, dẫn đến hiện tượng **hallucination**. Ngoài ra, việc nói ""tài liệu hiện tại không đề cập đến chính sách làm việc từ xa hoặc flexitime cho các vị trí khác"" cũng là một đánh giá không được hỗ trợ trực tiếp, vì tài liệu không phủ nhận hoàn toàn sự tồn tại của chính sách đó — chỉ thiếu thông tin cụ thể. Do đó, câu trả lời không hoàn toàn dựa trên tài liệu đã truy xuất.",
18,job,Vị trí này có hay phải đi công tác tỉnh không ạ?,Không có thông tin về yêu cầu đi công tác tỉnh trong dữ liệu vị trí tuyển dụng hiện tại.,0,N/A,Không có tài liệu nào được trả về (Fallback).,"[handle_job_query] generated SQL: SELECT rc.name AS job_title, rc.jd_job_description, rc.jd_competency_requirements, rc.jd_salary_range, rc.jd_benefits, GROUP_CONCAT(DISTINCT rcr.round_name SEPARATOR '; ') AS interview_rounds
FROM recruitment_campaigns rc
JOIN recruitment_requests rr ON rc.request_id = rr.id
LEFT JOIN recruitment_campaign_rounds rcr ON rc.id = rcr.campaign_id
WHERE rc.status = 1
  AND (rc.end_time IS NULL OR rc.end_time >= UNIX_TIMESTAMP())
  AND rc.name LIKE '%'
GROUP BY rc.id
LIMIT 10"
19,company,"Công tác phí bên mình tính như thế nào? Tiền ăn ở, đi lại công ty lo trọn gói hay mình tự chi rồi về thanh toán?","Theo quy định của công ty, bạn sẽ **tự chi trước** các khoản đi lại, ăn ở trong thời gian công tác, sau đó **hoàn tất hồ sơ chứng từ hợp lệ** để thanh toán lại. Công ty không lo trọn gói mà sẽ thanh toán dựa trên thực tế chi phí hợp lệ.

Cụ thể:
- **Chi phí đi lại**: Vé máy bay, xe khách, taxi, xe lửa, hoặc phương tiện cá nhân (nếu được duyệt) đều được thanh toán nếu có hóa đơn, vé hợp lệ.
- **Chi phí lưu trú**: Được thanh toán theo hóa đơn thuế giá trị gia tăng (GTGT), tối đa **300.000đ/phòng/ngày** nếu không có hóa đơn. Nếu lưu trú trên 15 ngày, cần có hợp đồng thuê nhà có xác nhận của chủ nhà.
- **Phụ cấp sinh hoạt**: Được hưởng **100.000đ/ngày** nếu công tác ngoài tỉnh từ 8 tiếng trở lên và có lưu trú qua đêm. Trường hợp đi và về trong ngày, mức phụ cấp tùy theo thời gian: từ 6–8 tiếng được 50.000đ, trên 8–12 tiếng được 100.000đ, trên 12 tiếng được 140.000đ.
- **Tiền ăn**: Nếu có tiếp khách, công ty sẽ trừ đi mức hỗ trợ ăn theo quy định: ăn sáng 40.000đ, ăn trưa và tối 50.000đ mỗi bữa.

Lưu ý: Tất cả chi phí phải có hóa đơn hợp lệ, ghi rõ nội dung như “Chi phí công tác”, và phải được **phê duyệt trước** nếu là chi phí tiếp khách đông người hoặc vượt định mức. Nếu không có hóa đơn, công ty chỉ thanh toán theo mức tối đa, và tổng chi phí không vượt quá 1.000.000đ cho một chuyến công tác.

Bạn nên chuẩn bị đầy đủ chứng từ trước khi nộp để được thanh toán nhanh chóng nhé.",12,PASS,"RESULT: PASS  
REASON: Câu trả lời hoàn toàn dựa trên thông tin từ các tài liệu đã truy xuất, không thêm thông tin ngoài tài liệu. Cụ thể:  
- Việc ""tự chi trước rồi thanh toán"" được xác nhận từ tài liệu 1 (yêu cầu lấy hóa đơn chứng từ) và tài liệu 10 (yêu cầu hóa đơn hợp lệ).  
- Chi phí đi lại, lưu trú, phụ cấp sinh hoạt, tiền ăn đều được trích dẫn chính xác từ tài liệu 1, 2, 5, 9, 10, 12.  
- Các mức phụ cấp theo thời gian (50k, 100k, 140k) và điều kiện hưởng (trên 8 tiếng, có lưu trú) được trích dẫn từ tài liệu 5.  
- Yêu cầu hóa đơn, phê duyệt trước, giới hạn chi phí không hóa đơn (300k/phòng, 1 triệu/chuyến) đều có căn cứ rõ ràng trong tài liệu 10.  
Không có thông tin nào bị thêm thắt, suy diễn hay hallucination. Tất cả đều phản ánh đúng nội dung tài liệu.",
20,company,"Trước khi đi công tác mình có được tạm ứng tiền trước không, hay phải tự bỏ tiền túi ra trước?","Theo quy định của công ty, bạn **có thể tạm ứng tiền trước** khi đi công tác, nhưng cần chuẩn bị hồ sơ đúng thời hạn. Cụ thể, bạn cần chuyển hồ sơ tạm ứng đến phòng Kế toán **ít nhất 3 ngày làm việc trước ngày đi công tác** để thủ tục được xử lý kịp thời. Trong trường hợp công tác đột xuất, thời gian xem xét tạm ứng tối thiểu là **1 ngày làm việc trước ngày đi**.

Hồ sơ tạm ứng bao gồm:  
- Đề nghị công tác (được lập trên hệ thống E-QT công tác và E-QT tạm ứng)  
- Giấy mời (nếu có liên quan đến chi phí tài chính)  
- Hóa đơn, báo giá (tùy theo giá trị vé máy bay, chi phí lưu trú, v.v.)

Vì vậy, bạn không cần phải tự bỏ tiền túi ra trước nếu đã chuẩn bị hồ sơ đúng quy định và nộp đúng thời hạn.",9,PASS,"RESULT: PASS  
REASON: Câu trả lời hoàn toàn dựa trên thông tin từ tài liệu 1 và tài liệu 4, đúng trọng tâm câu hỏi về việc có thể tạm ứng tiền trước khi đi công tác, nêu rõ thời hạn nộp hồ sơ (ít nhất 3 ngày làm việc, hoặc 1 ngày trong trường hợp đột xuất), và liệt kê đúng các loại hồ sơ cần chuẩn bị (Đề nghị công tác, giấy mời, hóa đơn/báo giá). Không có thông tin thêm nào không có trong tài liệu, không có hiện tượng hallucination.",
21,company,Thủ tục hoàn ứng và thanh toán sau công tác có nhanh không ạ?,"Theo quy định hiện hành, thủ tục hoàn ứng và thanh toán sau công tác được thực hiện trong thời gian khá linh hoạt và rõ ràng. Cụ thể:

Bạn cần hoàn tất hồ sơ hoàn ứng **trong vòng 05 ngày làm việc** kể từ ngày kết thúc công tác. Hồ sơ bao gồm: Giấy đề nghị hoàn ứng, phiếu chi tạm ứng đã nộp lại, và giấy đi đường (nếu là công tác).

Sau khi nộp đầy đủ, hồ sơ sẽ được xử lý qua các bước: Phòng ban phụ trách kiểm duyệt, Phòng Kế toán kiểm tra tính hợp lệ, rồi chuyển lên Giám đốc phê duyệt. Quy trình này được yêu cầu hoàn thành trong **02 ngày làm việc** kể từ khi nhận được hồ sơ đúng quy định.

Tóm lại, nếu bạn nộp hồ sơ đầy đủ và đúng hạn, quy trình hoàn ứng và thanh toán có thể được xử lý nhanh chóng, chỉ trong khoảng **07 ngày làm việc** kể từ ngày kết thúc công tác.",6,PASS,"RESULT: PASS  
REASON: Câu trả lời chính xác dựa trên thông tin từ các tài liệu đã truy xuất: thời gian hoàn ứng trong vòng 05 ngày làm việc (tài liệu 2, 3, 5), thời gian xử lý hồ sơ trong 02 ngày làm việc (tài liệu 4), và tổng thời gian từ khi kết thúc công tác đến khi hoàn tất thanh toán là 07 ngày làm việc (kết hợp từ tài liệu 1 và 4). Không có thông tin nào bị thêm thắt hay hallucination, tất cả đều được trích dẫn đúng từ tài liệu.",
22,company,Công ty mình có bắt buộc mặc đồng phục cả tuần không hay được mặc đồ tự do ạ?,"Theo quy định của công ty, nhân viên không bắt buộc mặc đồng phục cả tuần. Cụ thể, đồng phục hè được mặc vào những ngày và trường hợp nhất định:

- **Áo Polo màu đen**: Mặc vào **Thứ Hai hàng tuần** hoặc khi đi gặp khách hàng, đối tác, hoặc trong các trường hợp đặc biệt có thông báo từ công ty.  
- **Áo Polo màu xanh**: Mặc vào **Thứ Sáu hàng tuần**, khi tham gia các hoạt động dã ngoại, nghỉ mát, hoặc trong các trường hợp phát sinh đặc biệt có thông báo.

Ngoài những ngày và trường hợp này, nhân viên có thể mặc trang phục thường ngày phù hợp với văn hóa công sở:  
- Nam: Áo sơ mi, áo phông có cổ, quần âu, giày tây hoặc giày thể thao.  
- Nữ: Áo sơ mi, áo phông có cổ, quần âu, chân váy hoặc quần tây, giày gót không quá 7cm.

Tất cả trang phục phải gọn gàng, lịch sự, không mặc áo sát nách, váy quá ngắn hay quần jean. Đồng phục cũng cần được bảo quản sạch sẽ, không rách, sờn, và không được mượn người khác.

Nếu bạn đang mang bầu, được phép không mặc đồng phục nhưng vẫn phải đảm bảo trang phục gọn gàng, nghiêm túc.",6,PASS,"RESULT: PASS  
REASON: Câu trả lời hoàn toàn dựa trên thông tin từ các tài liệu đã truy xuất, không thêm thông tin ngoài tài liệu. Cụ thể:  
- Thời gian mặc đồng phục (Thứ Hai và Thứ Sáu) được trích dẫn chính xác từ Tài liệu 1 và 2.  
- Các trường hợp đặc biệt (gặp khách hàng, dã ngoại) được nêu rõ từ tài liệu.  
- Trang phục thường ngày (áo sơ mi, quần âu, giày tây...) được lấy từ Tài liệu 5 và 6, phù hợp với quy định văn hóa công sở.  
- Ngoại lệ khi mang bầu được đề cập trong Tài liệu 3.  
- Không có thông tin nào bị thêm thắt, suy diễn hay hallucination.",
23,company,Cho mình hỏi đồng phục công ty sẽ cấp phát hay nhân viên tự may/mua?,"Theo quy định về cấp phát và sử dụng đồng phục của AIPTGROUP, công ty sẽ **cấp phát đồng phục** cho cán bộ, công nhân viên theo đúng số lượng quy định. Cụ thể, mỗi nhân viên sẽ được cấp 1 áo Polo màu đen và 1 áo Polo màu xanh, áp dụng cho tất cả các đối tượng như cán bộ chính thức, nhân viên thử việc, thực tập sinh và nhân sự học việc.

Nếu nhân viên có nhu cầu may thêm đồng phục ngoài số lượng được cấp, có thể đăng ký may thêm với Phòng Hành chính - Nhân sự (P. HCNS) và **chịu hoàn toàn chi phí thực tế** theo đơn vị cung cấp.

Tóm lại, đồng phục cơ bản do công ty cấp phát; trường hợp muốn thêm, nhân viên tự chi trả.",12,PASS,"RESULT: PASS  
REASON: Câu trả lời hoàn toàn dựa trên thông tin từ các tài liệu đã truy xuất, cụ thể là tài liệu 3 (nguyên tắc cấp phát), tài liệu 10 (số lượng cấp phát), và tài liệu 3 (điều kiện đăng ký may thêm). Không có thông tin nào bị thêm thắt hay hallucination. Câu trả lời chính xác, đầy đủ và trung thành với nội dung tài liệu, trả lời đúng trọng tâm câu hỏi về việc công ty cấp phát hay nhân viên tự mua.",
24,company,Văn hóa công ty mình thế nào ạ? Mọi người có hay tổ chức team building hay du lịch công ty hàng năm không?,"Xin lỗi, hiện tại tôi chưa tìm thấy thông tin chính thức về vấn đề này trong bộ quy định của công ty. Bạn vui lòng liên hệ trực tiếp với phòng Hành chính - Nhân sự để được giải đáp chính xác nhất nhé!",0,N/A,Không có tài liệu nào được trả về (Fallback).,
25,company,Bên mình có quy tắc gì đặc biệt về trang phục hay tác phong làm việc không?,"Theo nội quy công ty mình, có một số quy định đặc biệt về trang phục và tác phong làm việc mà bạn nên biết nhé.

Về trang phục, nhân viên cần mặc đồng phục công ty đúng quy định để tạo sự chuyên nghiệp. Cụ thể, vào **Thứ Hai**, mọi người sẽ mặc **áo Polo màu đen** – thường là khi đi gặp khách hàng hoặc đối tác, hoặc khi có thông báo đặc biệt từ công ty. Còn vào **Thứ Sáu**, sẽ là **áo Polo màu xanh**, đặc biệt khi tham gia các hoạt động dã ngoại hoặc nghỉ mát.

Đối với trang phục hàng ngày tại văn phòng, nam nhân viên nên mặc áo sơ mi hoặc áo phông có cổ, quần âu, giày tây hoặc giày thể thao – **không mặc quần jean**. Nữ nhân viên cần chọn trang phục công sở kín đáo, nghiêm túc: áo sơ mi hoặc áo phông có cổ, chân váy hoặc quần âu – **không mặc áo sát nách, váy quá ngắn**.

Về tác phong làm việc, công ty rất coi trọng văn hóa nơi làm việc: giữ gìn vệ sinh, sắp xếp tài liệu gọn gàng, không ăn vặt hay hút thuốc trong giờ làm việc, và tuyệt đối không lan truyền thông tin chưa xác thực. Ngoài ra, mọi thiết bị điện cần được tắt khi không sử dụng, đặc biệt khi ra khỏi phòng hoặc hết giờ làm việc.

Tất cả đều nhằm duy trì một môi trường làm việc chuyên nghiệp, sạch đẹp và hiệu quả – đúng tinh thần của AIPT GROUP.",11,PASS,"RESULT: PASS  
REASON: Câu trả lời hoàn toàn dựa trên thông tin từ các tài liệu đã truy xuất, không thêm thông tin ngoài nguồn. Các quy định về trang phục (áo Polo màu đen vào Thứ Hai, màu xanh vào Thứ Sáu, trang phục hàng ngày cho nam/nữ, cấm quần jean, áo sát nách, váy quá ngắn) đều được trích dẫn chính xác từ tài liệu 4, 5, 3, 1, 6. Tác phong làm việc (giữ vệ sinh, không ăn vặt, tắt thiết bị điện, không lan truyền thông tin) cũng được lấy từ tài liệu 7 và 3. Không có thông tin nào bị thêm thắt hay hallucination.",
26,company,"Công ty mình quản lý công việc qua phần mềm nào (Jira, Trello, Base...) hay qua Zalo/Email ạ?","Theo nội quy công ty mình, khi triển khai phần mềm, nhân viên được khuyến khích chủ động cập nhật dữ liệu vào phần mềm để lưu trữ lâu dài, tìm kiếm dễ dàng, đồng thời chia sẻ thuận tiện cho đồng nghiệp và người kế nhiệm. Cách làm này dần thay thế cho việc ghi chép bằng sổ truyền thống, dù trước đây cách cũ từng được xem là ""chuẩn mực"".  

Tuy nhiên, tài liệu hiện tại không đề cập đến tên cụ thể của phần mềm quản lý công việc như Jira, Trello hay Base.",1,PASS,"RESULT: PASS  
REASON: Câu trả lời hoàn toàn dựa trên thông tin từ tài liệu 1, không thêm thông tin ngoài tài liệu (không hallucinate), và đúng trọng tâm câu hỏi bằng cách xác nhận rằng phần mềm được sử dụng để quản lý công việc (dù không nêu tên cụ thể), đồng thời rõ ràng thừa nhận tài liệu không cung cấp tên phần mềm như Jira, Trello hay Base.",
27,job,"KPI của vị trí này được đánh giá theo ngày, tuần hay tháng?",Không có thông tin về chu kỳ đánh giá KPI trong dữ liệu hiện có.,0,N/A,Không có tài liệu nào được trả về (Fallback).,[handle_job_query] generated SQL: -- Không có thông tin về cách đánh giá KPI trong các bảng được phép truy vấn. Không thể trả lời câu hỏi này.
28,company,Quy trình làm việc và giao việc giữa các phòng ban có rõ ràng không ạ?,"Theo quy định nội bộ của AIPT Việt Nam, quy trình làm việc và giao việc giữa các phòng ban được thiết kế rõ ràng và minh bạch. Cụ thể, quy trình giao việc được áp dụng cho mọi cấp độ, từ Ban Giám đốc đến nhân viên, nhằm đảm bảo công việc được chuyển giao một cách rõ ràng về yêu cầu, thời hạn và người chịu trách nhiệm.

Theo đó, khi giao việc, người thực hiện cần điền đầy đủ thông tin chi tiết như nội dung công việc, thời gian hoàn thành, thành viên thực hiện và kết quả mong đợi — đặc biệt với các công việc phức tạp hoặc liên phòng ban, việc liệt kê từng công đoạn là bắt buộc. Điều này giúp người nhận việc hiểu rõ nhiệm vụ và hoàn thành đúng kỳ hạn.

Ngoài ra, quy trình cũng quy định rõ cách xử lý khi có phát sinh: nếu nhân viên không thể thực hiện, cần thông báo cho Tổ trưởng phòng ban (TBP) kèm lý do để được chỉ định người thay thế hoặc TBP trực tiếp xử lý. Trường hợp công việc không đúng tiến độ, TBP phòng ban sẽ chịu trách nhiệm hoàn trả kết quả thay cho nhân viên.

Tinh thần phối hợp giữa các phòng ban cũng được nhấn mạnh — từ nghiên cứu, phát triển, kinh doanh đến vận hành và quản trị nội bộ, đều cần liên kết chặt chẽ để đảm bảo chất lượng và hiệu quả hoạt động.

Tóm lại, quy trình giao việc tại AIPT Việt Nam được xây dựng bài bản, rõ ràng và có cơ chế kiểm soát, hỗ trợ kịp thời, giúp các phòng ban làm việc hiệu quả và minh bạch.",8,PASS,"RESULT: PASS  
REASON: Câu trả lời hoàn toàn dựa trên thông tin từ các tài liệu đã truy xuất, không thêm thông tin ngoài nguồn. Tất cả các nội dung như quy trình giao việc, trách nhiệm của TBP, cách xử lý khi không thực hiện được, yêu cầu điền thông tin chi tiết, cơ chế kiểm soát tiến độ, và tinh thần phối hợp giữa các phòng ban đều được trích dẫn chính xác từ Tài liệu 1, 2, 3, 4, 5, 6, 7, 8. Không có thông tin nào bị thêm thắt hay hallucination.",
