STT,Chủ đề / Nhánh,Câu hỏi,Câu trả lời,Kết quả (PASS/FAIL),Lý do đánh giá,Debug Logs (SQL)
11,job,tìm việc,"Xin lỗi, hiện tại tôi gặp khó khăn khi tra cứu danh sách công việc. Bạn vui lòng thử lại sau hoặc tham khảo website tuyển dụng của công ty nhé!",ERROR,Connection error.,
12,chitchat,tester,"Xin lỗi, tôi không hiểu.",FAIL,Không thuộc nhánh job (Nhánh hiện tại: chitchat). Đánh giá FAIL.,
13,chitchat,việc sg,"Xin lỗi, tôi không hiểu.",FAIL,Không thuộc nhánh job (Nhánh hiện tại: chitchat). Đánh giá FAIL.,
14,chitchat,HR lương bn,"Xin lỗi, tôi không hiểu.",FAIL,Không thuộc nhánh job (Nhánh hiện tại: chitchat). Đánh giá FAIL.,
15,chitchat,"Chào anh chị phòng nhân sự, em vừa hoàn thành chương trình đại học chuyên ngành marketing, nhưng lại có kinh nghiệm làm sale được 2 năm. Em muốn hỏi liệu công ty mình có vị trí sale nào nhàn nhàn mà lương khoảng 12-15 triệu không ạ? Mong anh chị phản hồi giúp em!","Xin lỗi, tôi không hiểu.",FAIL,Không thuộc nhánh job (Nhánh hiện tại: chitchat). Đánh giá FAIL.,
16,chitchat,"Dạ công ty ơi, đợt vừa rồi em rải CV nhiều nơi mà chưa đậu. Em thấy bên công ty mình phúc lợi tốt quá nên muốn hỏi xem có vị trí kế toán nào trống không? Lương trên 10 củ là em làm.","Xin lỗi, tôi không hiểu.",FAIL,Không thuộc nhánh job (Nhánh hiện tại: chitchat). Đánh giá FAIL.,
17,chitchat,có chóp lào 15 chẹo hk ad ưi?,"Xin lỗi, tôi không hiểu.",FAIL,Không thuộc nhánh job (Nhánh hiện tại: chitchat). Đánh giá FAIL.,
18,job,tuỷn nv code khum,"Dựa trên thông tin bạn cung cấp, công ty AIPT hiện đang tuyển dụng một vị trí phù hợp với yêu cầu lập trình viên (code):

- **Vị trí**: Nhân viên FullStack Developer  
- **Số lượng**: 1 vị trí  
- **Mức lương**: 14.000.000 - 18.000.000 VND  
- **Yêu cầu**: Tối thiểu 3 năm kinh nghiệm, trình độ đại học trở lên, có khả năng làm cả front-end và back-end, tích hợp AI, triển khai trên môi trường Linux, sử dụng Docker.  

Bạn đã cung cấp email: nguyen.hong.anh@gmail.com. Vui lòng chuẩn bị hồ sơ ứng tuyển (CV, thư xin việc) và gửi về email này để tham gia quy trình tuyển dụng.  

Quy trình ứng tuyển bao gồm: Sơ vấn; Vòng 1.",PASS,"RESULT: PASS  
REASON: Câu lệnh SQL đã đúng với ý định người dùng khi tìm kiếm việc làm liên quan đến từ khóa ""code"", ""lập trình"", ""developer"", ""kỹ sư"" trong cả tên vị trí và mô tả công việc. SQL lọc đúng các bản ghi có trạng thái hoạt động (status = 1), chưa kết thúc (end_time không tồn tại hoặc còn trong tương lai), và sử dụng điều kiện LIKE phù hợp để tìm kiếm từ khóa. Kết quả trả về bao gồm thông tin đầy đủ như vị trí, số lượng, mức lương, yêu cầu kinh nghiệm, trình độ, mô tả công việc và vòng phỏng vấn — tất cả đều phản ánh hợp lý kết quả từ truy vấn. Chatbot đã tóm tắt chính xác và rõ ràng thông tin từ kết quả SQL, đồng thời hướng dẫn người dùng ứng tuyển đúng theo email đã cung cấp. Không có sai lệch về nội dung hoặc logic tìm kiếm.","[handle_job_query] generated SQL: SELECT 
    rc.name AS job_title,
    rr.quantity AS number_of_positions,
    rr.experience_level AS minimum_experience_years,
    rr.education_level AS education_level,
    rc.jd_salary_range AS salary_range,
    rc.jd_benefits AS benefits,
    rc.jd_job_description AS job_description,
    GROUP_CONCAT(DISTINCT rcr.round_name SEPARATOR '; ') AS interview_rounds
FROM 
    recruitment_campaigns rc
    JOIN recruitment_requests rr ON rc.request_id = rr.id
    LEFT JOIN recruitment_campaign_rounds rcr ON rc.id = rcr.campaign_id
WHERE 
    rc.status = 1
    AND (rc.end_time IS NULL OR rc.end_time >= UNIX_TIMESTAMP())
    AND (rc.name LIKE '%code%' OR rc.name LIKE '%lập trình%' OR rc.name LIKE '%developer%' OR rc.name LIKE '%kỹ sư%' OR rc.jd_job_description LIKE '%code%' OR rc.jd_job_description LIKE '%lập trình%' OR rc.jd_job_description LIKE '%developer%' OR rc.jd_job_description LIKE '%kỹ sư%')
GROUP BY 
    rc.id
LIMIT 10;
[check_jobs] executing query: SELECT 
    rc.name AS job_title,
    rr.quantity AS number_of_positions,
    rr.experience_level AS minimum_experience_years,
    rr.education_level AS education_level,
    rc.jd_salary_range AS salary_range,
    rc.jd_benefits AS benefits,
    rc.jd_job_description AS job_description,
    GROUP_CONCAT(DISTINCT rcr.round_name SEPARATOR '; ') AS interview_rounds
FROM 
    recruitment_campaigns rc
    JOIN recruitment_requests rr ON rc.request_id = rr.id
    LEFT JOIN recruitment_campaign_rounds rcr ON rc.id = rcr.campaign_id
WHERE 
    rc.status = 1
    AND (rc.end_time IS NULL OR rc.end_time >= UNIX_TIMESTAMP())
    AND (rc.name LIKE '%code%' OR rc.name LIKE '%lập trình%' OR rc.name LIKE '%developer%' OR rc.name LIKE '%kỹ sư%' OR rc.jd_job_description LIKE '%code%' OR rc.jd_job_description LIKE '%lập trình%' OR rc.jd_job_description LIKE '%developer%' OR rc.jd_job_description LIKE '%kỹ sư%')
GROUP BY 
    rc.id
LIMIT 10;"
19,job,tỉm vjệc nàm tester paithong,"Hiện tại, công ty AIPT không có vị trí tuyển dụng phù hợp với yêu cầu ""tester phần mềm"" trong danh sách các vị trí đang tuyển dụng. Các vị trí hiện có là:

- **Nhân viên FullStack Developer** (1 vị trí, mức lương 14.000.000 - 18.000.000 VND, yêu cầu kinh nghiệm từ 3 năm, có liên quan đến phát triển và tích hợp AI)
- **Sales Admin** (2 vị trí, mức lương 12.000.000 - 15.000.000 VND, yêu cầu kinh nghiệm từ 1-2 năm, chuyên về hỗ trợ kinh doanh, đấu thầu, quản lý hợp đồng)

Ứng viên vui lòng kiểm tra lại yêu cầu công việc hoặc chờ thông báo tuyển dụng mới trong tương lai.",FAIL,"RESULT: FAIL  
REASON: Câu lệnh SQL không đúng với ý định người dùng vì từ khóa ""tester phần mềm"" bị xử lý không chính xác. Cụ thể, SQL chỉ tìm kiếm các từ như ""tester"", ""kiểm thử"", ""test"", hoặc ""phần mềm"" trong tên công việc hoặc mô tả, nhưng không xử lý chính xác cụm từ ""tester phần mềm"" như một yêu cầu tìm kiếm liên kết. Ngoài ra, kết quả trả về lại cho thấy không có vị trí phù hợp, nhưng lại liệt kê hai vị trí không liên quan (FullStack Developer, Sales Admin), điều này cho thấy hệ thống có thể đã không lọc đúng hoặc không tìm thấy kết quả do điều kiện WHERE quá rộng hoặc thiếu chính xác. Hơn nữa, việc không có vị trí nào phù hợp với ""tester phần mềm"" là không hợp lý nếu có ít nhất một vị trí liên quan đến kiểm thử phần mềm trong cơ sở dữ liệu. Do đó, hệ thống AI đã không xử lý đúng yêu cầu tìm kiếm và phản hồi không chính xác.","[handle_job_query] generated SQL: SELECT 
    rc.name AS job_title,
    rr.quantity AS number_of_positions,
    rr.experience_level AS minimum_experience_years,
    rr.education_level AS education_level,
    rc.jd_salary_range AS salary_range,
    rc.jd_benefits AS benefits,
    rc.jd_job_description AS job_description,
    rc.jd_competency_requirements AS competency_requirements,
    GROUP_CONCAT(DISTINCT rcr.round_name SEPARATOR '; ') AS interview_rounds
FROM 
    recruitment_campaigns rc
    JOIN recruitment_requests rr ON rc.request_id = rr.id
    LEFT JOIN recruitment_campaign_rounds rcr ON rc.id = rcr.campaign_id
WHERE 
    rc.status = 1
    AND (rc.end_time IS NULL OR rc.end_time >= UNIX_TIMESTAMP())
    AND (rc.name LIKE '%tester%' OR rc.name LIKE '%kiểm thử%' OR rc.jd_job_description LIKE '%tester%' OR rc.jd_job_description LIKE '%kiểm thử%' OR rc.jd_job_description LIKE '%phần mềm%' OR rc.jd_job_description LIKE '%test%')
GROUP BY 
    rc.id
LIMIT 10;
[check_jobs] executing query: SELECT 
    rc.name AS job_title,
    rr.quantity AS number_of_positions,
    rr.experience_level AS minimum_experience_years,
    rr.education_level AS education_level,
    rc.jd_salary_range AS salary_range,
    rc.jd_benefits AS benefits,
    rc.jd_job_description AS job_description,
    rc.jd_competency_requirements AS competency_requirements,
    GROUP_CONCAT(DISTINCT rcr.round_name SEPARATOR '; ') AS interview_rounds
FROM 
    recruitment_campaigns rc
    JOIN recruitment_requests rr ON rc.request_id = rr.id
    LEFT JOIN recruitment_campaign_rounds rcr ON rc.id = rcr.campaign_id
WHERE 
    rc.status = 1
    AND (rc.end_time IS NULL OR rc.end_time >= UNIX_TIMESTAMP())
    AND (rc.name LIKE '%tester%' OR rc.name LIKE '%kiểm thử%' OR rc.jd_job_description LIKE '%tester%' OR rc.jd_job_description LIKE '%kiểm thử%' OR rc.jd_job_description LIKE '%phần mềm%' OR rc.jd_job_description LIKE '%test%')
GROUP BY 
    rc.id
LIMIT 10;"
20,chitchat,có cv nà0 ch0 ng m0i ra tru0ng hok dza?,"Chào bạn, mình hiểu bạn đang hỏi về việc nộp CV cho ứng tuyển, nhưng mình chỉ hỗ trợ thông tin liên quan đến tuyển dụng thôi nhé. Nếu bạn muốn ứng tuyển, mình có thể giúp hướng dẫn cách chuẩn bị hồ sơ phù hợp hơn!",FAIL,Không thuộc nhánh job (Nhánh hiện tại: chitchat). Đánh giá FAIL.,
21,unknown,"Mình tìm việc sale, không yêu cầu kinh nghiệm, làm tại Nam Từ Liêm, lương trên 8 triệu, được hỗ trợ xăng xe.","Rất vui được hỗ trợ bạn! Để mình liên hệ và gửi thông tin phù hợp nhanh hơn, bạn có thể cung cấp số điện thoại và email được không?",FAIL,Không thuộc nhánh job (Nhánh hiện tại: unknown). Đánh giá FAIL.,
22,job,Có công việc marketing nào cho fresher mà lương cứng 15 triệu không?,"Hiện tại, không tìm thấy vị trí marketing nào dành cho fresher với mức lương cứng 15 triệu.",FAIL,"RESULT: FAIL  
REASON: Câu lệnh SQL sử dụng `rc.jd_salary_range LIKE '%15%'` để tìm kiếm mức lương chứa ""15"", nhưng điều này không đảm bảo chính xác mức lương cứng là 15 triệu. Dạng chuỗi như ""15 triệu"", ""15,000,000"", hoặc ""15-20 triệu"" đều có thể bị bắt bởi LIKE '%15%', dẫn đến kết quả không chính xác. Hơn nữa, không có ràng buộc nào đảm bảo rằng ""15"" là mức lương cứng (fixed salary) hay chỉ là một phần trong range. Chatbot trả lời ""không tìm thấy"" mà không kiểm tra kỹ nội dung lương (ví dụ: liệu có vị trí nào có lương ""15 triệu"" hay không), dẫn đến phản hồi có thể sai lệch. Cần kiểm tra chính xác giá trị lương, ưu tiên phân tích cấu trúc salary_range (ví dụ: ""15 triệu"" hoặc ""15,000,000"") thay vì chỉ dùng LIKE.","[handle_job_query] generated SQL: SELECT 
    rc.name AS job_title,
    rr.quantity AS number_of_positions,
    rr.experience_level AS minimum_experience_years,
    rr.education_level AS education_level,
    rc.jd_salary_range AS salary_range,
    rc.jd_benefits AS benefits,
    rc.jd_job_description AS job_description,
    GROUP_CONCAT(DISTINCT rcr.round_name SEPARATOR '; ') AS interview_rounds
FROM 
    recruitment_campaigns rc
    JOIN recruitment_requests rr ON rc.request_id = rr.id
    LEFT JOIN recruitment_campaign_rounds rcr ON rc.id = rcr.campaign_id
WHERE 
    rc.status = 1
    AND (rc.end_time IS NULL OR rc.end_time >= UNIX_TIMESTAMP())
    AND (rc.name LIKE '%marketing%' OR rc.jd_job_description LIKE '%marketing%')
    AND rr.experience_level = 0
    AND rc.jd_salary_range LIKE '%15%'
GROUP BY 
    rc.id
LIMIT 10;
[check_jobs] executing query: SELECT 
    rc.name AS job_title,
    rr.quantity AS number_of_positions,
    rr.experience_level AS minimum_experience_years,
    rr.education_level AS education_level,
    rc.jd_salary_range AS salary_range,
    rc.jd_benefits AS benefits,
    rc.jd_job_description AS job_description,
    GROUP_CONCAT(DISTINCT rcr.round_name SEPARATOR '; ') AS interview_rounds
FROM 
    recruitment_campaigns rc
    JOIN recruitment_requests rr ON rc.request_id = rr.id
    LEFT JOIN recruitment_campaign_rounds rcr ON rc.id = rcr.campaign_id
WHERE 
    rc.status = 1
    AND (rc.end_time IS NULL OR rc.end_time >= UNIX_TIMESTAMP())
    AND (rc.name LIKE '%marketing%' OR rc.jd_job_description LIKE '%marketing%')
    AND rr.experience_level = 0
    AND rc.jd_salary_range LIKE '%15%'
GROUP BY 
    rc.id
LIMIT 10;"
23,company,"Công ty mình có bán laptop cũ không, mình đang cần mua?","Xin lỗi, hiện tại tôi chưa tìm thấy thông tin chính thức về vấn đề này trong bộ quy định của công ty. Bạn vui lòng liên hệ trực tiếp với phòng Hành chính - Nhân sự để được giải đáp chính xác nhất nhé!",FAIL,Không thuộc nhánh job (Nhánh hiện tại: company). Đánh giá FAIL.,
24,job,"Chị ơi, nhà em ở gần công ty, em xin làm bảo vệ được không? Lương tháng nhiêu?","Hiện tại, công ty không có thông tin tuyển dụng vị trí bảo vệ. Do đó, không thể cung cấp thông tin về mức lương hoặc cơ hội ứng tuyển cho vị trí này.",ERROR,Connection error.,"[handle_job_query] generated SQL: SELECT 
    rc.name AS job_title,
    rr.quantity AS number_of_positions,
    rr.experience_level AS experience_required,
    rr.education_level AS education_required,
    rc.jd_salary_range AS salary_range,
    rc.jd_benefits AS benefits,
    rc.jd_job_description AS job_description,
    GROUP_CONCAT(DISTINCT rcr.round_name SEPARATOR '; ') AS interview_rounds
FROM 
    recruitment_campaigns rc
    JOIN recruitment_requests rr ON rc.request_id = rr.id
    LEFT JOIN recruitment_campaign_rounds rcr ON rc.id = rcr.campaign_id
WHERE 
    rc.status = 1
    AND (rc.end_time IS NULL OR rc.end_time >= UNIX_TIMESTAMP())
    AND (rc.name LIKE '%bảo vệ%' OR rc.jd_job_description LIKE '%bảo vệ%')
    AND (rc.jd_job_description LIKE '%Hà Nội%' OR rc.jd_job_description LIKE '%Hồ Chí Minh%' OR rc.jd_job_description LIKE '%Cầu Giấy%' OR rc.jd_benefits LIKE '%Hà Nội%' OR rc.jd_benefits LIKE '%Hồ Chí Minh%' OR rc.jd_benefits LIKE '%Cầu Giấy%')
    AND (rc.jd_salary_range LIKE '%5%' OR rc.jd_salary_range LIKE '%6%' OR rc.jd_salary_range LIKE '%7%' OR rc.jd_salary_range LIKE '%8%' OR rc.jd_salary_range LIKE '%9%' OR rc.jd_salary_range LIKE '%10%' OR rc.jd_salary_range LIKE '%15%' OR rc.jd_salary_range LIKE '%20%')
GROUP BY 
    rc.id
LIMIT 10;
[check_jobs] executing query: SELECT 
    rc.name AS job_title,
    rr.quantity AS number_of_positions,
    rr.experience_level AS experience_required,
    rr.education_level AS education_required,
    rc.jd_salary_range AS salary_range,
    rc.jd_benefits AS benefits,
    rc.jd_job_description AS job_description,
    GROUP_CONCAT(DISTINCT rcr.round_name SEPARATOR '; ') AS interview_rounds
FROM 
    recruitment_campaigns rc
    JOIN recruitment_requests rr ON rc.request_id = rr.id
    LEFT JOIN recruitment_campaign_rounds rcr ON rc.id = rcr.campaign_id
WHERE 
    rc.status = 1
    AND (rc.end_time IS NULL OR rc.end_time >= UNIX_TIMESTAMP())
    AND (rc.name LIKE '%bảo vệ%' OR rc.jd_job_description LIKE '%bảo vệ%')
    AND (rc.jd_job_description LIKE '%Hà Nội%' OR rc.jd_job_description LIKE '%Hồ Chí Minh%' OR rc.jd_job_description LIKE '%Cầu Giấy%' OR rc.jd_benefits LIKE '%Hà Nội%' OR rc.jd_benefits LIKE '%Hồ Chí Minh%' OR rc.jd_benefits LIKE '%Cầu Giấy%')
    AND (rc.jd_salary_range LIKE '%5%' OR rc.jd_salary_range LIKE '%6%' OR rc.jd_salary_range LIKE '%7%' OR rc.jd_salary_range LIKE '%8%' OR rc.jd_salary_range LIKE '%9%' OR rc.jd_salary_range LIKE '%10%' OR rc.jd_salary_range LIKE '%15%' OR rc.jd_salary_range LIKE '%20%')
GROUP BY 
    rc.id
LIMIT 10;"
25,chitchat,Có tuyển phó giám đốc không?,"Xin lỗi, tôi không hiểu.",FAIL,Không thuộc nhánh job (Nhánh hiện tại: chitchat). Đánh giá FAIL.,
26,chitchat,Muốn lên làm CEO thì cần học những gì hả bot?,"Xin lỗi, tôi không hiểu.",FAIL,Không thuộc nhánh job (Nhánh hiện tại: chitchat). Đánh giá FAIL.,
27,chitchat,Đội bóng công ty có cần tuyển tiền đạo không?,"Xin lỗi, tôi không hiểu.",FAIL,Không thuộc nhánh job (Nhánh hiện tại: chitchat). Đánh giá FAIL.,
